(0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:03.902933' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:03.902933', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT COUNT(*) FROM (SELECT COUNT(DISTINCT "personas_estudiante"."id") AS "_total_estudiantes", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_femenino", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_masculino" FROM "escuela_niveleducativo" LEFT OUTER JOIN "escuela_seccion" ON ("escuela_niveleducativo"."id" = "escuela_seccion"."nivel_educativo_id") LEFT OUTER JOIN "personas_estudiante" ON ("escuela_seccion"."id" = "personas_estudiante"."seccion_id") GROUP BY "escuela_niveleducativo"."id") subquery; args=()
(0.000) SELECT COUNT(*) FROM (SELECT COUNT(DISTINCT "personas_estudiante"."id") AS "_total_estudiantes", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_femenino", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_masculino" FROM "escuela_niveleducativo" LEFT OUTER JOIN "escuela_seccion" ON ("escuela_niveleducativo"."id" = "escuela_seccion"."nivel_educativo_id") LEFT OUTER JOIN "personas_estudiante" ON ("escuela_seccion"."id" = "personas_estudiante"."seccion_id") GROUP BY "escuela_niveleducativo"."id") subquery; args=()
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_estudiantes", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_femenino", COUNT(DISTINCT "personas_estudiante"."id") AS "_total_masculino" FROM "escuela_niveleducativo" LEFT OUTER JOIN "escuela_seccion" ON ("escuela_niveleducativo"."id" = "escuela_seccion"."nivel_educativo_id") LEFT OUTER JOIN "personas_estudiante" ON ("escuela_seccion"."id" = "personas_estudiante"."seccion_id") GROUP BY "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" ORDER BY "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "escuela_niveleducativo"."id" DESC; args=()
(0.012) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:04.008938' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:04.008938', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.001) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2020-12-19 07:07:39.372549' AND "django_session"."session_key" = 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc') LIMIT 21; args=('2020-12-19 07:07:39.372549', 'ub3xykdsrmodam7hfc4gwce1jqqo1hfc')
(0.000) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
(0.000) SELECT "escuela_niveleducativo"."id", "escuela_niveleducativo"."nivel", "escuela_niveleducativo"."edad_normal_de_ingreso" FROM "escuela_niveleducativo" ORDER BY "escuela_niveleducativo"."edad_normal_de_ingreso" ASC; args=()
(0.000) SELECT "escuela_seccion"."id", "escuela_seccion"."periodo_escolar_id", "escuela_seccion"."nivel_educativo_id", "escuela_seccion"."seccion" FROM "escuela_seccion" INNER JOIN "escuela_periodoescolar" ON ("escuela_seccion"."periodo_escolar_id" = "escuela_periodoescolar"."id") INNER JOIN "escuela_niveleducativo" ON ("escuela_seccion"."nivel_educativo_id" = "escuela_niveleducativo"."id") ORDER BY "escuela_periodoescolar"."fecha_de_cierre" ASC, "escuela_niveleducativo"."edad_normal_de_ingreso" ASC, "escuela_seccion"."seccion" ASC; args=()
